id,active,score,name,email,verified,registered_ms,last_seen_ms
1,FALSE,88,Joseph Scott,joseph589@example.com,TRUE,1507958391130,1626608268440
2,TRUE,95,Michael Edwards,michael.edwards@icloud.com,FALSE,1476088179508,1731818226900
3,FALSE,84,Jessica Jones,jessicajones@gmail.com,FALSE,1453810521660,1732788226379
4,FALSE,32,Timothy Johnson,timothy.johnson@gmail.com,TRUE,1665525305540,1770251180078
5,TRUE,92,Matthew Young,myoung@proton.me,FALSE,1720452301793,1730296582266
6,TRUE,95,Justin Moore,justin859@example.com,FALSE,1681058781613,1698076981283
7,TRUE,11,Amy Hall,ahall@outlook.com,FALSE,1472316956414,1667552266827
8,FALSE,62,Joshua Sanchez,joshua317@icloud.com,TRUE,1445099644782,1475349608661
9,TRUE,87,Deborah Rodriguez,deborahrodriguez@example.com,TRUE,1478307266100,1547524728635
10,FALSE,82,Nicholas Parker,nicholas.parker@example.com,TRUE,1432329796428,1557829598531
11,FALSE,68,Scott Morris,scottmorris@outlook.com,FALSE,1483060138659,1570670030120
12,FALSE,32,Brian Sanchez,briansanchez@icloud.com,FALSE,1728248703748,1739635654837
13,TRUE,80,Amanda Hernandez,amanda220@outlook.com,TRUE,1535996026218,1720462902231
14,FALSE,48,Brian Wilson,brianwilson@yahoo.com,FALSE,1545583996732,1565046562042
15,TRUE,23,Steven Diaz,steven956@icloud.com,FALSE,1716325670822,1768002012328
16,TRUE,57,Paul Green,paul.green@yahoo.com,TRUE,1600056763743,1713867670332
17,FALSE,42,Andrew Stewart,andrew.stewart@aol.com,TRUE,1668588486230,1758082731978
18,TRUE,0,Matthew Martin,matthewmartin@aol.com,TRUE,1550402295251,1724619840760
19,FALSE,65,Ronald Smith,rsmith@example.com,TRUE,1618516646877,1771726263923
20,FALSE,65,Emma Wilson,emma847@proton.me,FALSE,1705989932063,1770339409465
21,FALSE,87,Joshua Evans,joshua149@outlook.com,TRUE,1440464061292,1605689933228
